10 year GDP Average,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2-Alpha Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Alternative conversion factor,Average % of Forest Cover (10 yrs),"Average Agriculture Contribution to GDP(% of GDP, 10 yrs)",Average Arable Land %(10 yrs),Average rural population (10 yrs),Average,Balance of Payments Manual in use,Country Code (Country),Country Code,Country Name (GDP),Country Name,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Income Group,Indicator Code,Indicator Name,Land area(Sq Km),Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Lending category,Long Name,National accounts base year,National accounts reference year,Number of Records,Other groups,PPP survey year,Region,SNA price valuation,Short Name,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code
12768170415.9364,,260000,260000,260000,260000,260010,260010,260010,260010,260010,260010,260010,260020,260020,260020,260020,260020,260020,260020,260040,260040,260040,260060,260060,260060,260080,260080,260100,260100,260150,260210,259010,258510,259510,259960,259460,259460,259010,258310,258410,BW,259510,258010,258460,257960,258270,258415,258030,257840,258810,259180,258610,259260,258870,258790,260010,,,,20.067917543,2.598527326,0.487357295,897854,259498.055555556,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.AGRI.K2,Agricultural land (sq. km),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,45.877225487,45.877225487,45.877225487,45.877225487,45.878989995,45.878989995,45.878989995,45.878989995,45.878989995,45.878989995,45.878989995,45.880754504,45.880754504,45.880754504,45.880754504,45.880754504,45.880754504,45.880754504,45.884283521,45.884283521,45.884283521,45.887812539,45.887812539,45.887812539,45.891341556,45.891341556,45.894870573,45.894870573,45.903693117,45.914280169,45.702539128,45.614313694,45.790764562,45.870167452,45.781942018,45.781942018,45.702539128,45.579023521,45.596668608,BW,45.790764562,45.526088261,45.605491151,45.517265717,45.571965486,45.597550862,45.529617278,45.496091613,45.667248955,45.732535775,45.631958781,45.746651845,45.677836007,45.663719937,45.878989995,,,,20.067917543,2.598527326,0.487357295,897854,45.788656954,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.AGRI.ZS,Agricultural land (% of land area),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,399000,399000,399000,399000,400000,400000,400000,400000,400000,400000,400000,401000,401000,401000,401000,401000,401000,401000,403000,403000,403000,405000,405000,405000,407000,407000,409000,409000,414000,420000,300000,250000,350000,395000,345000,345000,300000,230000,240000,BW,350000,200000,245000,195000,226000,240000,201000,182000,279000,316000,259000,324000,285000,277000,399000,,,,20.067917543,2.598527326,0.487357295,897854,348629.62962963,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.ARBL.HA,Arable land (hectares),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,0.704038960,0.704038960,0.704038960,0.704038960,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.705803469,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.707567978,0.711096995,0.711096995,0.711096995,0.714626012,0.714626012,0.714626012,0.718155030,0.718155030,0.721684047,0.721684047,0.730506590,0.741093642,0.529352602,0.441127168,0.617578035,0.696980926,0.608755492,0.608755492,0.529352602,0.405836995,0.423482081,BW,0.617578035,0.352901735,0.432304625,0.344079191,0.398778960,0.423482081,0.354666243,0.321140578,0.492297920,0.557584741,0.457007746,0.571700810,0.502884972,0.488768902,0.704038960,,,,20.067917543,2.598527326,0.487357295,897854,0.615160005,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.ARBL.ZS,Arable land (% of land area),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,BW,0.001764509,0.001764509,0.001764509,0.001764509,0.001764509,0.002646763,0.003529017,0.003529017,0.003529017,0.003529017,0.003529017,0.003529017,0.003529017,0.003529017,0.003529017,,,,20.067917543,2.598527326,0.487357295,897854,0.002074931,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.CROP.ZS,Permanent cropland (% of land area),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.205529970,23.996788594,23.788047218,23.579305842,23.370564466,23.161823090,22.953081714,22.744340338,22.535598962,22.326857587,BW,22.118116211,21.909198384,21.700280557,21.491362730,21.282444903,21.073527076,20.864609250,20.655691423,20.446773596,20.237855769,20.028937942,19.848605156,19.668272370,19.487939583,19.307606797,19.127274011,,,20.067917543,2.598527326,0.487357295,897854,21.611939752,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.FRST.ZS,Forest area (% of land area),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BW,,,,0.000542720,0.001161575,0.007739489,0.001162656,0.000814459,0.005795758,0.002546493,0.002900120,0.001349996,0.004249237,0.004250551,0.009615015,,,,20.067917543,2.598527326,0.487357295,897854,0.003510672,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,BW,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,,20.067917543,2.598527326,0.487357295,897854,566730,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.TOTL.K2,Land area (sq. km),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BW,,,,,,,,,,,,,,,,,,,20.067917543,2.598527326,0.487357295,897854,,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.TOTL.RU.K2,Rural land area (sq. km),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BW,,,,,,,,,,,,,,,,,,,20.067917543,2.598527326,0.487357295,897854,,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,AG.LND.TOTL.UR.K2,Urban land area (sq. km),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,43.3645,41.870519485,40.456928253,39.380775668,38.430496866,33.841463415,39.295392954,,,,,,,,,29.878174685,26.828038326,24.898609502,20.596298835,16.490450205,14.686295128,14.271956857,11.672284441,9.011781255,7.653078805,6.386170078,5.687681145,6.699287967,5.960822937,4.966687372,4.853313466,4.817534557,5.204929170,5.009205067,4.079054837,4.909827728,3.947752675,3.811251203,3.424972220,3.254359168,BW,3.049821512,2.807892931,2.592103833,2.972992797,2.537845529,2.032283082,2.254962447,2.494893349,2.833797160,3.210037227,2.784345615,2.716427613,2.931872183,2.560750342,2.356403951,2.408027618,,,20.067917543,2.598527326,0.487357295,897854,11.837173769,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)",566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
12768170415.9364,3.04123e+07,32902336.644746,35643207.6265246,38091150.566196,41613969.0506064,45790869.7473126,51464435.1464435,58646443.5146444,66248256.6248257,77356914.0788191,96245114.4611949,126957494.407159,165258093.875959,244129088.027662,306033848.417954,355172413.793103,372010119.595216,451603325.415677,590376720.598889,819877300.613497,1060923829.13021,1073861599.13948,1014907254.54016,1172258182.14969,1240796364.75662,1114764007.14811,1392634771.9653,1965274882.36345,2644536804.11244,3083800684.89751,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,BW,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9931134940.51346,10126940513.3125,10939053367.1521,10945070447.5102,10267133183.7388,12786654369.6595,15682926890.0326,14686278713.5189,14814761247.9547,15880203580.8046,14389717321.1029,,,20.067917543,2.598527326,0.487357295,897854,4260319589.95558,"IMF Balance of Payments Manual, 6th edition.",BWA,BWA,Botswana,Botswana,Botswana pula,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Upper middle income,NY.GDP.MKTP.CD,GDP (current US$),566730,2015,"Demographic survey, 2006",2013,2011,2015,2000,IBRD,Republic of Botswana,2006,,1,,2011,Sub-Saharan Africa,Value added at basic prices (VAB),Botswana,"Expenditure survey/budget survey (ES/BS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW
11940749862.3287,,35180,35330,35420,35950,36270,36270,36290,35770,34770,34190,24500,24500,24500,25000,25000,25500,25500,26000,26000,26500,26500,26800,26900,26910,29900,32900,37000,41500,44350,44550,45100,45150,45310,45700,45700,45800,45800,46300,46400,KH,47700,48900,50000,51000,52300,53560,53550,53550,53550,53550,54550,54550,54550,54550,54550,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,39767.037037037,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.AGRI.K2,Agricultural land (sq. km),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,19.929753002,20.014729209,20.065714933,20.365964197,20.547246771,20.547246771,20.558576932,20.263992749,19.697484704,19.368910039,13.879447088,13.879447088,13.879447088,14.162701110,14.162701110,14.445955133,14.445955133,14.729209155,14.729209155,15.012463177,15.012463177,15.182415590,15.239066395,15.244731475,16.938590528,18.638114661,20.960797643,23.510083843,25.124631770,25.237933379,25.549512803,25.577838205,25.668479492,25.889417630,25.889417630,25.946068434,25.946068434,26.229322456,26.285973261,KH,27.022433719,27.702243372,28.325402221,28.891910265,29.628370723,30.342170859,30.336505778,30.336505778,30.336505778,30.336505778,30.903013823,30.903013823,30.903013823,30.903013823,30.903013823,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,22.528346384,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.AGRI.ZS,Agricultural land (% of land area),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,2838000,2850000,2850000,2900000,2900000,2900000,2902000,2850000,2750000,2693000,1800000,1800000,1800000,1850000,1850000,1900000,1900000,1950000,1950000,2000000,2000000,2030000,2040000,2040000,2300000,2600000,3000000,3450000,3685000,3695000,3700000,3700000,3716000,3700000,3700000,3700000,3700000,3700000,3700000,KH,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3800000,3800000,3800000,3800000,3800000,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,3025722.22222222,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.ARBL.HA,Arable land (hectares),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,16.077498300,16.145479266,16.145479266,16.428733288,16.428733288,16.428733288,16.440063449,16.145479266,15.578971221,15.256061636,10.197144799,10.197144799,10.197144799,10.480398822,10.480398822,10.763652844,10.763652844,11.046906866,11.046906866,11.330160888,11.330160888,11.500113302,11.556764106,11.556764106,13.029685022,14.729209155,16.995241332,19.544527532,20.875821437,20.932472241,20.960797643,20.960797643,21.051438930,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,KH,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,20.960797643,21.527305688,21.527305688,21.527305688,21.527305688,21.527305688,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,17.140959791,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.ARBL.ZS,Arable land (% of land area),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,0.566508044,0.583503286,0.634489010,0.651484251,0.832766825,0.832766825,0.832766825,0.832766825,0.832766825,0.827101745,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.396555631,0.509857240,0.509857240,0.566508044,0.566508044,0.566508044,0.623158849,0.623158849,0.651484251,0.651484251,0.679809653,0.679809653,0.736460458,0.736460458,0.736460458,0.793111262,KH,0.793111262,0.793111262,0.849762067,0.849762067,0.849762067,0.883752549,0.878087469,0.878087469,0.878087469,0.878087469,0.878087469,0.878087469,0.878087469,0.878087469,0.878087469,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,0.657988603,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.CROP.ZS,Permanent cropland (% of land area),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.328801269,72.536823023,71.744844777,70.952866531,70.160888285,69.368910039,68.576931792,67.784953546,66.992975300,66.200997054,KH,65.409018808,64.485610696,63.562202583,62.638794471,61.715386358,60.791978246,60.070246998,59.348515749,58.626784500,57.905053252,57.183322003,56.461590755,55.739859506,55.018128257,54.296397009,53.574665760,,,57.183322003,33.365443719,21.244051666,11537394.7272727,63.249097945,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.FRST.ZS,Forest area (% of land area),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KH,,,,,,,,,,,,,,,,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,KH,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,,57.183322003,33.365443719,21.244051666,11537394.7272727,176520,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.TOTL.K2,Land area (sq. km),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176298.1875,,,,,,,,,,KH,176298.1875,,,,,,,,,,176298.1875,,,,,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,176298.1875,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.TOTL.RU.K2,Rural land area (sq. km),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.062866,,,,,,,,,,KH,1152.062866,,,,,,,,,,1152.062866,,,,,,,,57.183322003,33.365443719,21.244051666,11537394.7272727,1152.062866,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,AG.LND.TOTL.UR.K2,Urban land area (sq. km),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.520383615,47.686344642,49.620981468,46.591024537,46.337450568,46.336634297,43.336997021,KH,37.841180803,36.166552825,32.870782383,33.598215636,31.158280398,32.401330140,31.654819635,31.881374874,34.854726958,35.650326335,36.019587122,36.683847158,35.601661505,33.514127671,30.508930858,28.249148653,,,57.183322003,33.365443719,21.244051666,11537394.7272727,37.612378657,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)",176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
11940749862.3287,6.37143e+08,642857134.285714,660000008.571429,728571437.142857,782857128.571429,868571428.571429,914285714.285714,962857134.285714,1065714248.57143,978873232.394366,718401157.724163,969911421.394181,505549441.375077,702899155.982033,588443893.689773,,,,,,,,,,,,,,,,,,,2533727592.04165,2791435272.26653,3441205692.9166,3506695719.57259,3443413388.6909,3120425502.58253,3517242477.2285,KH,3654031716.26881,3979813387.84404,4284028138.34567,4658246906.65996,5337833255.95698,6293046162.12584,7274595706.67154,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14038383450.186,15449630418.5486,16777820332.7059,18049954289.4229,,,57.183322003,33.365443719,21.244051666,11537394.7272727,4930086393.11974,"IMF Balance of Payments Manual, 6th edition.",KHM,KHM,Cambodia,Cambodia,Cambodian riel,Actual,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),Lower middle income,NY.GDP.MKTP.CD,GDP (current US$),176520,2013,"Demographic and Health Survey, 2014",2000,2008,2015,2006,IDA,Kingdom of Cambodia,2000,,1,,2011,East Asia & Pacific,Value added at basic prices (VAB),Cambodia,"Integrated household survey (IHS), 2012",,Country uses the 1993 System of National Accounts methodology.,General trade system,Cambodia,,KH
